Signal Legend:

Key        Signal Name

0        = pre_save:inst6|RDAT
1        = pre_save:inst6|RSOP
2        = pre_save:inst6|REOP
3        = pre_save:inst6|data_en
4        = pre_save:inst6|dout
5        = pre_save:inst6|wren
6        = pre_save:inst6|wraddr
7        = pre_save:inst6|pingpong

Data Table:

Signals-> 0         1 2 3 4         5 6    7 

sample

-64       00000000h 0 0 0 00000000h 0 000h 0 
-63       00000000h 0 0 0 00000000h 0 000h 0 
-62       00000000h 0 0 0 00000000h 0 000h 0 
-61       00000000h 0 0 0 00000000h 0 000h 0 
-60       00000000h 0 0 0 00000000h 0 000h 0 
-59       00000000h 0 0 0 00000000h 0 000h 0 
-58       00000000h 0 0 0 00000000h 0 000h 0 
-57       00000000h 0 0 0 00000000h 0 000h 0 
-56       00000000h 0 0 0 00000000h 0 000h 0 
-55       00000000h 0 0 0 00000000h 0 000h 0 
-54       00000000h 0 0 0 00000000h 0 000h 0 
-53       00000000h 0 0 0 00000000h 0 000h 0 
-52       00000000h 0 0 0 00000000h 0 000h 0 
-51       00000000h 0 0 0 00000000h 0 000h 0 
-50       00000000h 0 0 0 00000000h 0 000h 0 
-49       00000000h 0 0 0 00000000h 0 000h 0 
-48       00000000h 0 0 0 00000000h 0 000h 0 
-47       00000000h 0 0 0 00000000h 0 000h 0 
-46       00000000h 0 0 0 00000000h 0 000h 0 
-45       00000000h 0 0 0 00000000h 0 000h 0 
-44       00000000h 0 0 0 00000000h 0 000h 0 
-43       00000000h 0 0 0 00000000h 0 000h 0 
-42       00000000h 0 0 0 00000000h 0 000h 0 
-41       00000000h 0 0 0 00000000h 0 000h 0 
-40       00000000h 0 0 0 00000000h 0 000h 0 
-39       00000000h 0 0 0 00000000h 0 000h 0 
-38       00000000h 0 0 0 00000000h 0 000h 0 
-37       00000000h 0 0 0 00000000h 0 000h 0 
-36       00000000h 0 0 0 00000000h 0 000h 0 
-35       00000000h 0 0 0 00000000h 0 000h 0 
-34       00000000h 0 0 0 00000000h 0 000h 0 
-33       00000000h 0 0 0 00000000h 0 000h 0 
-32       00000000h 0 0 0 00000000h 0 000h 0 
-31       00000000h 0 0 0 00000000h 0 000h 0 
-30       00000000h 0 0 0 00000000h 0 000h 0 
-29       00000000h 0 0 0 00000000h 0 000h 0 
-28       00000000h 0 0 0 00000000h 0 000h 0 
-27       00000000h 0 0 0 00000000h 0 000h 0 
-26       00000000h 0 0 0 00000000h 0 000h 0 
-25       00000000h 0 0 0 00000000h 0 000h 0 
-24       00000000h 0 0 0 00000000h 0 000h 0 
-23       00000000h 0 0 0 00000000h 0 000h 0 
-22       00000000h 0 0 0 00000000h 0 000h 0 
-21       00000000h 0 0 0 00000000h 0 000h 0 
-20       00000000h 0 0 0 00000000h 0 000h 0 
-19       00000000h 0 0 0 00000000h 0 000h 0 
